timestamp,elapsed_sec,participant_id,player,team,kills_added,cumulative_kills,confidence
2026-08-01T11:13:23.921Z,180.126,7,Lucid,Dplus KIA,1,1,derived_from_riot_kill_counter_increase
2026-08-01T11:15:40.740Z,316.945,7,Lucid,Dplus KIA,1,2,derived_from_riot_kill_counter_increase
2026-08-01T11:16:14.578Z,350.783,8,ShowMaker,Dplus KIA,1,1,derived_from_riot_kill_counter_increase
2026-08-01T11:16:16.046Z,352.251,3,Chovy,Gen.G,1,1,derived_from_riot_kill_counter_increase
2026-08-01T11:16:17.950Z,354.155,3,Chovy,Gen.G,1,2,derived_from_riot_kill_counter_increase
2026-08-01T11:16:33.948Z,370.153,7,Lucid,Dplus KIA,1,3,derived_from_riot_kill_counter_increase
2026-08-01T11:17:36.405Z,432.61,6,Siwoo,Dplus KIA,1,1,derived_from_riot_kill_counter_increase
2026-08-01T11:19:06.265Z,522.47,5,Duro,Gen.G,1,1,derived_from_riot_kill_counter_increase
2026-08-01T11:19:32.765Z,548.97,8,ShowMaker,Dplus KIA,1,2,derived_from_riot_kill_counter_increase
2026-08-01T11:19:33.999Z,550.204,3,Chovy,Gen.G,1,3,derived_from_riot_kill_counter_increase
2026-08-01T11:21:46.675Z,682.88,7,Lucid,Dplus KIA,1,4,derived_from_riot_kill_counter_increase
2026-08-01T11:24:00.988Z,817.193,5,Duro,Gen.G,1,2,derived_from_riot_kill_counter_increase
2026-08-01T11:25:20.384Z,896.589,9,Smash,Dplus KIA,1,1,derived_from_riot_kill_counter_increase
2026-08-01T11:26:06.668Z,942.873,3,Chovy,Gen.G,1,4,derived_from_riot_kill_counter_increase
2026-08-01T11:28:27.360Z,1083.565,1,Kiin,Gen.G,1,1,derived_from_riot_kill_counter_increase
2026-08-01T11:31:11.968Z,1248.173,9,Smash,Dplus KIA,1,2,derived_from_riot_kill_counter_increase
2026-08-01T11:31:49.237Z,1285.442,8,ShowMaker,Dplus KIA,1,3,derived_from_riot_kill_counter_increase
2026-08-01T11:33:44.772Z,1400.977,10,Career,Dplus KIA,1,1,derived_from_riot_kill_counter_increase
2026-08-01T11:34:53.753Z,1469.958,1,Kiin,Gen.G,1,2,derived_from_riot_kill_counter_increase
2026-08-01T11:36:12.578Z,1548.783,1,Kiin,Gen.G,1,3,derived_from_riot_kill_counter_increase
2026-08-01T11:37:07.947Z,1604.152,1,Kiin,Gen.G,1,4,derived_from_riot_kill_counter_increase
2026-08-01T11:37:16.632Z,1612.837,7,Lucid,Dplus KIA,1,5,derived_from_riot_kill_counter_increase
2026-08-01T11:37:19.467Z,1615.672,8,ShowMaker,Dplus KIA,1,4,derived_from_riot_kill_counter_increase
2026-08-01T11:37:24.647Z,1620.852,3,Chovy,Gen.G,1,5,derived_from_riot_kill_counter_increase
2026-08-01T11:37:26.925Z,1623.13,9,Smash,Dplus KIA,1,3,derived_from_riot_kill_counter_increase
2026-08-01T11:39:14.448Z,1730.653,3,Chovy,Gen.G,1,6,derived_from_riot_kill_counter_increase
2026-08-01T11:39:16.262Z,1732.467,3,Chovy,Gen.G,1,7,derived_from_riot_kill_counter_increase
2026-08-01T11:39:18.999Z,1735.204,9,Smash,Dplus KIA,1,4,derived_from_riot_kill_counter_increase
2026-08-01T11:39:23.761Z,1739.966,9,Smash,Dplus KIA,1,5,derived_from_riot_kill_counter_increase
2026-08-01T11:39:27.967Z,1744.172,8,ShowMaker,Dplus KIA,1,5,derived_from_riot_kill_counter_increase
2026-08-01T11:39:29.071Z,1745.276,9,Smash,Dplus KIA,1,6,derived_from_riot_kill_counter_increase
2026-08-01T11:42:39.387Z,1935.592,9,Smash,Dplus KIA,1,7,derived_from_riot_kill_counter_increase
2026-08-01T11:43:13.605Z,1969.81,8,ShowMaker,Dplus KIA,1,6,derived_from_riot_kill_counter_increase
2026-08-01T11:43:14.865Z,1971.07,6,Siwoo,Dplus KIA,1,2,derived_from_riot_kill_counter_increase
2026-08-01T11:43:18.972Z,1975.177,2,Canyon,Gen.G,1,1,derived_from_riot_kill_counter_increase
