minute,timestamp,participant_id,player,team,level,kills,deaths,assists,cs,gold,wards_placed,wards_destroyed,item_ids
0,2026-08-01T11:10:24.155Z,1,Kiin,Gen.G,1,0,0,0,0,500,0,0,[]
0,2026-08-01T11:10:24.155Z,2,Canyon,Gen.G,1,0,0,0,0,500,0,0,[]
0,2026-08-01T11:10:24.155Z,3,Chovy,Gen.G,1,0,0,0,0,500,0,0,[]
0,2026-08-01T11:10:24.155Z,4,Ruler,Gen.G,1,0,0,0,0,500,0,0,[]
0,2026-08-01T11:10:24.155Z,5,Duro,Gen.G,1,0,0,0,0,500,0,0,[3865]
0,2026-08-01T11:10:24.155Z,6,Siwoo,Dplus KIA,1,0,0,0,0,500,0,0,[]
0,2026-08-01T11:10:24.155Z,7,Lucid,Dplus KIA,1,0,0,0,0,500,0,0,[]
0,2026-08-01T11:10:24.155Z,8,ShowMaker,Dplus KIA,1,0,0,0,0,500,0,0,[]
0,2026-08-01T11:10:24.155Z,9,Smash,Dplus KIA,1,0,0,0,0,500,0,0,[]
0,2026-08-01T11:10:24.155Z,10,Career,Dplus KIA,1,0,0,0,0,500,0,0,[3865]
1,2026-08-01T11:11:23.463Z,1,Kiin,Gen.G,1,0,0,0,0,500,1,0,"[1055,2003,3340]"
1,2026-08-01T11:11:23.463Z,2,Canyon,Gen.G,1,0,0,0,0,505,1,0,"[1102,2003,3340]"
1,2026-08-01T11:11:23.463Z,3,Chovy,Gen.G,1,0,0,0,0,500,1,0,"[1056,2003,2003,3340]"
1,2026-08-01T11:11:23.463Z,4,Ruler,Gen.G,1,0,0,0,0,505,1,0,"[1055,2003,3340]"
1,2026-08-01T11:11:23.463Z,5,Duro,Gen.G,1,0,0,0,0,505,1,0,"[3865,2003,2003,3364]"
1,2026-08-01T11:11:23.463Z,6,Siwoo,Dplus KIA,1,0,0,0,0,500,1,0,"[3340,1055,2003]"
1,2026-08-01T11:11:23.463Z,7,Lucid,Dplus KIA,1,0,0,0,0,500,0,0,"[1102,2003,3340]"
1,2026-08-01T11:11:23.463Z,8,ShowMaker,Dplus KIA,1,0,0,0,0,505,1,0,"[1056,2003,2003,3340]"
1,2026-08-01T11:11:23.463Z,9,Smash,Dplus KIA,1,0,0,0,0,505,1,0,"[1055,2003,3340]"
1,2026-08-01T11:11:23.463Z,10,Career,Dplus KIA,1,0,0,0,0,500,1,0,"[3865,2003,2003,3364]"
2,2026-08-01T11:12:23.722Z,1,Kiin,Gen.G,2,0,0,0,4,692,1,0,"[1055,2003,3340]"
2,2026-08-01T11:12:23.722Z,2,Canyon,Gen.G,3,0,0,0,12,872,1,0,"[1102,2003,3340]"
2,2026-08-01T11:12:23.722Z,3,Chovy,Gen.G,2,0,0,0,9,768,1,0,"[1056,3340]"
2,2026-08-01T11:12:23.722Z,4,Ruler,Gen.G,2,0,0,0,9,779,1,0,"[1055,2003,3340]"
2,2026-08-01T11:12:23.722Z,5,Duro,Gen.G,2,0,0,0,1,692,1,0,"[3865,2003,3364]"
2,2026-08-01T11:12:23.722Z,6,Siwoo,Dplus KIA,2,0,0,0,11,796,1,0,"[3340,1055,2003]"
2,2026-08-01T11:12:23.722Z,7,Lucid,Dplus KIA,3,0,0,0,12,867,0,0,"[1102,2003,3340]"
2,2026-08-01T11:12:23.722Z,8,ShowMaker,Dplus KIA,3,0,0,0,14,861,1,0,"[1056,2003,3340]"
