source_game_id,player,team,side,champion,role,won,duration_sec,level,kills,deaths,assists,kda,cs,cs in team's jungle,cs in enemy jungle,csm,golds,gpm,gold%,vision score,wards placed,wards destroyed,control wards purchased,detector wards placed,vspm,wpm,vwpm,wcpm,vs%,total damage to champion,physical damage,magic damage,true damage,dpm,dmg%,k+a per minute,kp%,solo kills,double kills,triple kills,quadra kills,penta kills,gd@15,csd@15,xpd@15,lvld@15,objectives stolen,damage dealt to turrets,damage dealt to buildings,total heal,total heals on teammates,damage self mitigated,total damage shielded on teammates,time ccing others,total time cc dealt,total damage taken,total time spent dead,consumables purchased,items purchased,shutdown bounty collected,shutdown bounty lost
80676,Siwoo,Dplus KIA,Blue,KSante,TOP,true,1726,17,0,1,1,1,277,0,,9.6,10773,374,18.6%,38,19,3,7,7,1.32,0.66,0.24,0.1,12.9%,4331,4080,194,57,151,8%,0.03,14.3%,,0,0,0,0,-403,6,71,0,0,5196,5196,2084,0,35484,0,11,1067,16316,28,8,25,0,0
80676,Lucid,Dplus KIA,Blue,Xin Zhao,JUNGLE,true,1726,16,1,0,5,Perfect KDA,236,221,,8.2,11807,410,20.4%,52,10,12,8,8,1.81,0.35,0.28,0.42,17.6%,12132,11273,615,244,422,22.5%,0.21,85.7%,,0,0,0,0,334,22,1641,2,0,631,631,23959,0,22993,0,17,651,31908,0,9,28,0,0
80676,ShowMaker,Dplus KIA,Blue,Viktor,MID,true,1726,16,3,1,2,5,264,4,,9.2,11579,403,20%,41,13,6,2,2,1.43,0.45,0.07,0.21,13.9%,21613,1042,20571,0,751,40%,0.17,71.4%,,1,0,0,0,-1034,-25,-429,-1,0,4259,4259,1163,0,10061,0,21,583,10479,32,4,22,0,0
80676,Smash,Dplus KIA,Blue,Caitlyn,ADC,true,1726,16,3,0,2,Perfect KDA,341,16,,11.9,15536,540,26.8%,37,12,10,4,4,1.29,0.42,0.14,0.35,12.5%,10242,9989,222,31,356,19%,0.17,71.4%,,0,0,0,0,2324,46,1068,1,0,26177,26177,3946,0,6431,0,13,98,8869,0,6,24,0,0
80676,Career,Dplus KIA,Blue,Bard,SUPPORT,true,1726,12,0,0,7,Perfect KDA,43,4,,1.5,8177,284,14.1%,127,56,20,24,17,4.41,1.95,0.83,0.7,43.1%,5661,1894,3446,321,197,10.5%,0.24,100%,,0,0,0,0,406,11,-306,-1,0,1688,1688,7505,3635,7524,674,29,154,11081,0,20,34,0,0
80676,Kiin,Gen.G,Red,Rumble,TOP,false,1726,16,0,2,2,1,252,0,,8.8,10294,358,21.6%,42,15,9,4,4,1.46,0.52,0.14,0.31,14%,10696,430,9826,440,372,24.3%,0.07,100%,,0,0,0,0,403,-6,-71,0,0,2432,2432,2788,0,13658,0,16,329,15148,62,6,24,0,0
80676,Canyon,Gen.G,Red,Jarvan IV,JUNGLE,false,1726,13,1,2,0,0.5,189,174,,6.6,9186,319,19.3%,61,10,14,10,8,2.12,0.35,0.35,0.49,20.3%,7831,5442,929,1460,272,17.8%,0.03,50%,,0,0,0,0,-334,-22,-1641,-2,0,0,0,7168,0,23576,0,14,516,17775,80,11,30,0,0
80676,Chovy,Gen.G,Red,Yone,MID,false,1726,15,1,1,0,1,299,0,,10.4,10984,382,23%,45,8,13,4,4,1.56,0.28,0.14,0.45,15%,9811,7434,1105,1272,341,22.3%,0.03,50%,,0,0,0,0,1034,25,429,1,0,6937,6937,8549,0,19624,0,7,156,19740,49,5,23,0,0
80676,Ruler,Gen.G,Red,Lucian,ADC,false,1726,14,0,1,1,1,292,0,,10.2,10950,381,23%,39,14,12,6,5,1.36,0.49,0.21,0.42,13%,12243,8601,3642,0,426,27.8%,0.03,50%,,0,0,0,0,-2324,-46,-1068,-1,0,3118,3118,2402,0,8997,0,0,29,11142,47,7,30,0,0
80676,Duro,Gen.G,Red,Milio,SUPPORT,false,1726,10,0,1,2,2,19,0,,0.7,6278,218,13.2%,114,55,11,18,11,3.96,1.91,0.63,0.38,37.9%,3388,1078,2310,0,118,7.7%,0.07,100%,,0,0,0,0,-406,-11,306,1,0,209,209,7002,4356,5841,2963,19,124,11202,30,15,32,0,0
